# phi	rc	N	alpha	sigma	beta	lambda	mean_R0	stderr_R0
0.900000	2.500000	1000.0	1.000000	13.208500	0.400000	0.500000	19.735000	0.648369
0.900000	2.500000	1000.0	1.000000	13.208500	0.400000	1.500000	5.579000	0.190010
0.900000	2.500000	1000.0	1.000000	13.208500	0.600000	1.000000	6.843000	0.233037
0.900000	2.500000	1000.0	1.000000	13.208500	0.600000	2.000000	2.214000	0.085511
0.900000	2.500000	1000.0	1.000000	13.208500	0.800000	0.500000	9.640000	0.305507
0.900000	2.500000	1000.0	1.000000	13.208500	0.800000	1.000000	4.821000	0.151562
0.900000	2.500000	1000.0	1.000000	13.208500	0.800000	2.000000	1.854000	0.073666
0.900000	2.500000	1000.0	1.000000	13.208500	1.000000	1.000000	3.957000	0.137249
0.900000	2.500000	1000.0	1.000000	13.208500	1.000000	2.000000	1.483000	0.060611
0.900000	2.500000	1000.0	1.000000	13.208500	2.000000	1.000000	2.146000	0.085116
0.900000	2.500000	1000.0	1.000000	13.208500	4.000000	1.000000	0.894000	0.042483
0.900000	2.500000	1000.0	1.000000	13.208500	10.000000	1.000000	0.420000	0.023401
0.900000	2.500000	1000.0	1.000000	13.208500	10.000000	2.000000	0.150000	0.013838
0.900000	2.500000	1000.0	1.000000	17.922900	0.200000	1.000000	20.484000	0.648109
0.900000	2.500000	1000.0	1.000000	17.922900	0.200000	2.000000	6.994000	0.238038
0.900000	2.500000	1000.0	1.000000	17.922900	0.400000	0.500000	18.768000	0.582653
0.900000	2.500000	1000.0	1.000000	17.922900	0.400000	1.500000	5.642000	0.197388
0.900000	2.500000	1000.0	1.000000	17.922900	0.600000	1.000000	6.848000	0.225537
0.900000	2.500000	1000.0	1.000000	17.922900	0.600000	2.000000	2.340000	0.089098
0.900000	2.500000	1000.0	1.000000	17.922900	0.800000	0.500000	9.700000	0.325137
0.900000	2.500000	1000.0	1.000000	17.922900	0.800000	1.000000	5.383000	0.178444
0.900000	2.500000	1000.0	1.000000	17.922900	0.800000	2.000000	1.743000	0.071168
0.900000	2.500000	1000.0	1.000000	17.922900	1.000000	1.000000	3.997000	0.137873
0.900000	2.500000	1000.0	1.000000	17.922900	1.000000	2.000000	1.356000	0.056562
0.900000	2.500000	1000.0	1.000000	17.922900	2.000000	1.000000	2.039000	0.075707
0.900000	2.500000	1000.0	1.000000	17.922900	4.000000	1.000000	1.032000	0.044057
0.900000	2.500000	1000.0	1.000000	17.922900	10.000000	1.000000	0.399000	0.023912
0.900000	2.500000	1000.0	1.000000	17.922900	10.000000	2.000000	0.111000	0.010985
0.900000	2.500000	1000.0	1.000000	24.319800	0.200000	1.000000	19.046000	0.617070
0.900000	2.500000	1000.0	1.000000	24.319800	0.200000	2.000000	6.686000	0.233134
0.900000	2.500000	1000.0	1.000000	24.319800	0.400000	0.500000	20.015000	0.583721
0.900000	2.500000	1000.0	1.000000	24.319800	0.400000	1.500000	5.884000	0.201511
0.900000	2.500000	1000.0	1.000000	24.319800	0.600000	1.000000	6.132000	0.215148
0.900000	2.500000	1000.0	1.000000	24.319800	0.600000	2.000000	2.230000	0.086401
0.900000	2.500000	1000.0	1.000000	24.319800	0.800000	0.500000	9.863000	0.315142
0.900000	2.500000	1000.0	1.000000	24.319800	0.800000	1.000000	5.223000	0.167455
0.900000	2.500000	1000.0	1.000000	24.319800	0.800000	2.000000	1.671000	0.066006
0.900000	2.500000	1000.0	1.000000	24.319800	1.000000	1.000000	4.059000	0.139016
0.900000	2.500000	1000.0	1.000000	24.319800	1.000000	2.000000	1.335000	0.058248
0.900000	2.500000	1000.0	1.000000	24.319800	2.000000	1.000000	2.140000	0.082791
0.900000	2.500000	1000.0	1.000000	24.319800	4.000000	1.000000	1.026000	0.043992
0.900000	2.500000	1000.0	1.000000	24.319800	10.000000	1.000000	0.431000	0.024520
0.900000	2.500000	1000.0	1.000000	24.319800	10.000000	2.000000	0.127000	0.012201
0.900000	2.500000	1000.0	1.000000	33.000000	0.200000	1.000000	19.341000	0.620802
0.900000	2.500000	1000.0	1.000000	33.000000	0.200000	2.000000	6.520000	0.217586
0.900000	2.500000	1000.0	1.000000	33.000000	0.400000	0.500000	19.605000	0.638743
0.900000	2.500000	1000.0	1.000000	33.000000	0.400000	1.500000	5.690000	0.199474
0.900000	2.500000	1000.0	1.000000	33.000000	0.600000	1.000000	6.696000	0.231408
0.900000	2.500000	1000.0	1.000000	33.000000	0.600000	2.000000	2.260000	0.083441
0.900000	2.500000	1000.0	1.000000	33.000000	0.800000	0.500000	9.658000	0.317621
0.900000	2.500000	1000.0	1.000000	33.000000	0.800000	1.000000	5.242000	0.175890
0.900000	2.500000	1000.0	1.000000	33.000000	0.800000	2.000000	1.697000	0.071072
0.900000	2.500000	1000.0	1.000000	33.000000	1.000000	1.000000	4.077000	0.139961
0.900000	2.500000	1000.0	1.000000	33.000000	1.000000	2.000000	1.372000	0.055260
0.900000	2.500000	1000.0	1.000000	33.000000	2.000000	1.000000	2.033000	0.076485
0.900000	2.500000	1000.0	1.000000	33.000000	4.000000	1.000000	1.008000	0.045188
0.900000	2.500000	1000.0	1.000000	33.000000	10.000000	1.000000	0.428000	0.023766
0.900000	2.500000	1000.0	1.000000	33.000000	10.000000	2.000000	0.128000	0.011900
0.900000	2.500000	1000.0	5.000000	0.100000	0.300000	1.000000	6.992000	0.156025
0.900000	2.500000	1000.0	5.000000	0.135700	0.300000	1.000000	6.868000	0.161284
0.900000	2.500000	1000.0	5.000000	0.184100	0.300000	1.000000	6.533000	0.151733
0.900000	2.500000	1000.0	5.000000	0.249800	0.300000	1.000000	7.053000	0.158121
0.900000	2.500000	1000.0	5.000000	0.339000	0.300000	1.000000	7.007000	0.160321
0.900000	2.500000	1000.0	5.000000	0.460000	0.300000	1.000000	6.671000	0.157349
