# Step	Time	mean_S	stderr_S	mean_I	stderr_I
29300	293.0000	399.940000	42.475738	600.060000	42.475738
29400	294.0000	402.200000	42.307522	597.800000	42.307522
29500	295.0000	399.620000	42.497820	600.380000	42.497820
29600	296.0000	399.660000	42.492443	600.340000	42.492443
29700	297.0000	397.020000	42.668185	602.980000	42.668185
29800	298.0000	396.900000	42.678756	603.100000	42.678756
29900	299.0000	398.860000	42.556570	601.140000	42.556570
30000	300.0000	401.380000	42.371999	598.620000	42.371999
30100	301.0000	400.140000	42.470027	599.860000	42.470027
30200	302.0000	401.160000	42.408889	598.840000	42.408889
30300	303.0000	400.240000	42.441466	599.760000	42.441466
30400	304.0000	396.340000	42.740413	603.660000	42.740413
30500	305.0000	396.460000	42.711574	603.540000	42.711574
30600	306.0000	401.820000	42.330015	598.180000	42.330015
30700	307.0000	396.520000	42.722221	603.480000	42.722221
30800	308.0000	396.780000	42.704906	603.220000	42.704906
30900	309.0000	397.540000	42.638426	602.460000	42.638426
31000	310.0000	398.160000	42.588603	601.840000	42.588603
31100	311.0000	399.520000	42.493013	600.480000	42.493013
31200	312.0000	399.100000	42.536255	600.900000	42.536255
31300	313.0000	398.000000	42.608225	602.000000	42.608225
31400	314.0000	400.060000	42.484599	599.940000	42.484599
31500	315.0000	401.340000	42.369240	598.660000	42.369240
31600	316.0000	398.480000	42.583905	601.520000	42.583905
31700	317.0000	396.060000	42.743509	603.940000	42.743509
31800	318.0000	399.140000	42.532830	600.860000	42.532830
31900	319.0000	396.460000	42.722268	603.540000	42.722268
32000	320.0000	399.260000	42.516442	600.740000	42.516442
32100	321.0000	398.400000	42.594300	601.600000	42.594300
32200	322.0000	400.520000	42.434705	599.480000	42.434705
32300	323.0000	401.300000	42.375561	598.700000	42.375561
32400	324.0000	401.900000	42.330757	598.100000	42.330757
32500	325.0000	399.400000	42.513123	600.600000	42.513123
32600	326.0000	399.020000	42.551254	600.980000	42.551254
32700	327.0000	396.840000	42.698743	603.160000	42.698743
32800	328.0000	395.120000	42.818535	604.880000	42.818535
32900	329.0000	397.560000	42.655402	602.440000	42.655402
33000	330.0000	397.680000	42.635267	602.320000	42.635267
33100	331.0000	402.380000	42.307369	597.620000	42.307369
33200	332.0000	398.640000	42.582238	601.360000	42.582238
33300	333.0000	395.680000	42.777718	604.320000	42.777718
33400	334.0000	401.560000	42.359152	598.440000	42.359152
33500	335.0000	401.040000	42.392707	598.960000	42.392707
33600	336.0000	401.140000	42.371368	598.860000	42.371368
33700	337.0000	402.740000	42.278759	597.260000	42.278759
33800	338.0000	399.720000	42.483597	600.280000	42.483597
33900	339.0000	402.760000	42.293296	597.240000	42.293296
34000	340.0000	397.140000	42.670646	602.860000	42.670646
34100	341.0000	398.260000	42.595284	601.740000	42.595284
34200	342.0000	399.940000	42.480060	600.060000	42.480060
34300	343.0000	397.160000	42.683274	602.840000	42.683274
34400	344.0000	397.220000	42.678222	602.780000	42.678222
34500	345.0000	399.660000	42.500443	600.340000	42.500443
34600	346.0000	397.340000	42.661511	602.660000	42.661511
34700	347.0000	395.980000	42.773856	604.020000	42.773856
34800	348.0000	398.140000	42.596394	601.860000	42.596394
34900	349.0000	399.200000	42.543418	600.800000	42.543418
35000	350.0000	395.040000	42.822059	604.960000	42.822059
35100	351.0000	397.200000	42.664440	602.800000	42.664440
35200	352.0000	396.360000	42.723237	603.640000	42.723237
35300	353.0000	401.560000	42.360596	598.440000	42.360596
35400	354.0000	396.060000	42.730639	603.940000	42.730639
35500	355.0000	397.840000	42.617934	602.160000	42.617934
35600	356.0000	396.920000	42.680139	603.080000	42.680139
35700	357.0000	397.400000	42.648142	602.600000	42.648142
35800	358.0000	397.940000	42.611308	602.060000	42.611308
35900	359.0000	400.400000	42.426831	599.600000	42.426831
36000	360.0000	400.240000	42.469156	599.760000	42.469156
36100	361.0000	396.800000	42.693578	603.200000	42.693578
36200	362.0000	396.200000	42.727396	603.800000	42.727396
36300	363.0000	398.220000	42.600134	601.780000	42.600134
36400	364.0000	399.240000	42.520692	600.760000	42.520692
36500	365.0000	400.520000	42.442453	599.480000	42.442453
36600	366.0000	401.500000	42.349406	598.500000	42.349406
36700	367.0000	400.220000	42.448098	599.780000	42.448098
36800	368.0000	401.520000	42.366697	598.480000	42.366697
36900	369.0000	401.940000	42.340660	598.060000	42.340660
37000	370.0000	398.680000	42.560389	601.320000	42.560389
37100	371.0000	400.500000	42.446204	599.500000	42.446204
37200	372.0000	398.820000	42.567177	601.180000	42.567177
37300	373.0000	394.800000	42.823676	605.200000	42.823676
37400	374.0000	395.200000	42.805803	604.800000	42.805803
37500	375.0000	397.580000	42.642609	602.420000	42.642609
37600	376.0000	398.360000	42.588484	601.640000	42.588484
37700	377.0000	398.660000	42.567693	601.340000	42.567693
37800	378.0000	396.900000	42.685419	603.100000	42.685419
37900	379.0000	401.120000	42.390429	598.880000	42.390429
38000	380.0000	402.100000	42.316458	597.900000	42.316458
38100	381.0000	401.700000	42.357632	598.300000	42.357632
38200	382.0000	398.980000	42.555484	601.020000	42.555484
38300	383.0000	395.460000	42.800535	604.540000	42.800535
38400	384.0000	397.080000	42.691553	602.920000	42.691553
38500	385.0000	400.940000	42.392465	599.060000	42.392465
38600	386.0000	397.560000	42.659162	602.440000	42.659162
38700	387.0000	395.820000	42.761372	604.180000	42.761372
38800	388.0000	396.420000	42.728230	603.580000	42.728230
38900	389.0000	398.660000	42.563257	601.340000	42.563257
39000	390.0000	396.500000	42.714000	603.500000	42.714000
39100	391.0000	399.120000	42.535290	600.880000	42.535290
39200	392.0000	396.660000	42.703242	603.340000	42.703242
39300	393.0000	400.940000	42.401551	599.060000	42.401551
39400	394.0000	402.440000	42.304904	597.560000	42.304904
39500	395.0000	398.300000	42.600707	601.700000	42.600707
39600	396.0000	397.060000	42.681438	602.940000	42.681438
39700	397.0000	399.060000	42.508412	600.940000	42.508412
39800	398.0000	403.600000	42.219910	596.400000	42.219910
39900	399.0000	398.060000	42.600783	601.940000	42.600783
40000	400.0000	401.160000	42.378394	598.840000	42.378394
40100	401.0000	399.020000	42.542689	600.980000	42.542689
40200	402.0000	400.720000	42.420458	599.280000	42.420458
40300	403.0000	400.680000	42.413634	599.320000	42.413634
40400	404.0000	398.300000	42.603176	601.700000	42.603176
40500	405.0000	397.780000	42.625666	602.220000	42.625666
40600	406.0000	397.820000	42.634124	602.180000	42.634124
40700	407.0000	397.500000	42.644449	602.500000	42.644449
40800	408.0000	395.760000	42.760052	604.240000	42.760052
40900	409.0000	398.620000	42.583273	601.380000	42.583273
41000	410.0000	396.860000	42.683514	603.140000	42.683514
41100	411.0000	399.960000	42.463980	600.040000	42.463980
41200	412.0000	396.580000	42.719664	603.420000	42.719664
41300	413.0000	395.300000	42.789487	604.700000	42.789487
41400	414.0000	401.060000	42.404183	598.940000	42.404183
41500	415.0000	396.400000	42.724504	603.600000	42.724504
41600	416.0000	398.940000	42.539444	601.060000	42.539444
41700	417.0000	399.760000	42.485730	600.240000	42.485730
41800	418.0000	398.360000	42.588729	601.640000	42.588729
41900	419.0000	401.540000	42.354289	598.460000	42.354289
42000	420.0000	400.980000	42.393712	599.020000	42.393712
42100	421.0000	395.440000	42.787009	604.560000	42.787009
42200	422.0000	399.860000	42.484849	600.140000	42.484849
42300	423.0000	401.080000	42.402197	598.920000	42.402197
42400	424.0000	401.020000	42.407919	598.980000	42.407919
42500	425.0000	398.680000	42.560888	601.320000	42.560888
42600	426.0000	398.660000	42.553022	601.340000	42.553022
42700	427.0000	399.900000	42.484221	600.100000	42.484221
42800	428.0000	397.920000	42.621664	602.080000	42.621664
42900	429.0000	400.220000	42.462419	599.780000	42.462419
43000	430.0000	402.100000	42.317053	597.900000	42.317053
43100	431.0000	398.840000	42.544719	601.160000	42.544719
43200	432.0000	398.600000	42.573691	601.400000	42.573691
43300	433.0000	403.040000	42.257591	596.960000	42.257591
43400	434.0000	402.220000	42.318991	597.780000	42.318991
43500	435.0000	398.000000	42.605558	602.000000	42.605558
43600	436.0000	401.860000	42.344190	598.140000	42.344190
43700	437.0000	397.560000	42.641315	602.440000	42.641315
43800	438.0000	400.560000	42.435289	599.440000	42.435289
43900	439.0000	397.400000	42.654444	602.600000	42.654444
44000	440.0000	401.820000	42.332935	598.180000	42.332935
44100	441.0000	401.540000	42.360040	598.460000	42.360040
44200	442.0000	397.040000	42.682849	602.960000	42.682849
44300	443.0000	395.080000	42.817089	604.920000	42.817089
44400	444.0000	396.400000	42.740622	603.600000	42.740622
44500	445.0000	400.520000	42.425872	599.480000	42.425872
44600	446.0000	400.100000	42.456323	599.900000	42.456323
44700	447.0000	395.840000	42.762585	604.160000	42.762585
44800	448.0000	396.920000	42.690466	603.080000	42.690466
44900	449.0000	398.200000	42.591999	601.800000	42.591999
45000	450.0000	399.180000	42.533927	600.820000	42.533927
45100	451.0000	400.560000	42.425758	599.440000	42.425758
45200	452.0000	395.960000	42.748108	604.040000	42.748108
45300	453.0000	397.880000	42.621353	602.120000	42.621353
45400	454.0000	402.100000	42.329992	597.900000	42.329992
45500	455.0000	399.220000	42.536208	600.780000	42.536208
45600	456.0000	397.200000	42.657801	602.800000	42.657801
45700	457.0000	402.260000	42.305601	597.740000	42.305601
45800	458.0000	400.040000	42.458874	599.960000	42.458874
45900	459.0000	396.500000	42.722203	603.500000	42.722203
46000	460.0000	399.440000	42.509116	600.560000	42.509116
46100	461.0000	398.380000	42.591106	601.620000	42.591106
46200	462.0000	401.320000	42.389031	598.680000	42.389031
46300	463.0000	397.500000	42.664432	602.500000	42.664432
46400	464.0000	402.040000	42.318213	597.960000	42.318213
46500	465.0000	397.700000	42.625375	602.300000	42.625375
46600	466.0000	402.340000	42.304389	597.660000	42.304389
46700	467.0000	399.360000	42.515680	600.640000	42.515680
46800	468.0000	399.600000	42.520235	600.400000	42.520235
46900	469.0000	399.680000	42.496131	600.320000	42.496131
47000	470.0000	401.040000	42.409640	598.960000	42.409640
47100	471.0000	401.680000	42.356406	598.320000	42.356406
47200	472.0000	396.680000	42.689394	603.320000	42.689394
47300	473.0000	397.360000	42.646433	602.640000	42.646433
47400	474.0000	397.600000	42.642608	602.400000	42.642608
47500	475.0000	400.420000	42.440679	599.580000	42.440679
47600	476.0000	400.860000	42.402745	599.140000	42.402745
47700	477.0000	400.420000	42.436315	599.580000	42.436315
47800	478.0000	401.540000	42.369151	598.460000	42.369151
47900	479.0000	397.500000	42.642648	602.500000	42.642648
48000	480.0000	399.400000	42.520423	600.600000	42.520423
48100	481.0000	399.060000	42.532561	600.940000	42.532561
48200	482.0000	403.000000	42.253265	597.000000	42.253265
48300	483.0000	398.320000	42.576664	601.680000	42.576664
48400	484.0000	401.000000	42.418251	599.000000	42.418251
48500	485.0000	397.840000	42.632517	602.160000	42.632517
48600	486.0000	400.300000	42.433772	599.700000	42.433772
48700	487.0000	396.760000	42.699410	603.240000	42.699410
48800	488.0000	398.880000	42.560467	601.120000	42.560467
48900	489.0000	401.380000	42.398640	598.620000	42.398640
49000	490.0000	402.020000	42.340123	597.980000	42.340123
49100	491.0000	396.720000	42.699939	603.280000	42.699939
49200	492.0000	398.140000	42.585218	601.860000	42.585218
49300	493.0000	398.360000	42.576667	601.640000	42.576667
49400	494.0000	396.060000	42.742545	603.940000	42.742545
